reservation_status,adr,,,,,,,,
Canceled,79.5,,,,,,,,
Canceled,132.8,,,,,,,,
Check-Out,120,,,,,,,,
Canceled,79.5,,,,,,,,
Check-Out,120,,,,,,,,
Canceled,144.2,,,,,,,,
Check-Out,107.2,,,,,,,,
Canceled,120,,,,,,,,
Check-Out,120,,,,,,,,
Check-Out,163.8,,,,,,,,
Canceled,98.5,,,,,,,,
Canceled,130.5,,,,,,,,
Check-Out,153,,,,,,,,
Check-Out,98.5,,,,,,,,
Check-Out,119.7,,,,,,,,
Check-Out,184.6,,,,,,,,
Check-Out,181.22,,,,,,,,
Canceled,100.86,,,,,,,,
